127.0.0.1 - - [04/Mar/2022:19:51:09 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:51:10 +0900] "GET /day09/json_test.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:51:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:51:10 +0900] "GET /day09/data.json HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:51:57 +0900] "GET /day09/json_test.jsp HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [04/Mar/2022:19:51:57 +0900] "GET /day09/data.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:30:00 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:35:35 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 500 3044
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:36:16 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 500 3040
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:37:14 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:37:31 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [04/Mar/2022:21:37:45 +0900] "GET /day09/jstl_test.jsp HTTP/1.1" 200 402
